description,Name,Number with MA or mA,Major Arcana or Minor Arcana,Suit of Cards,Image,Fortune,Key Words Upright,Key words Reversed,Upright Meaning,Reverse Meaning,Archetype,"tarot cards and basic information about them, as well as references to corresp.9",Numerology,Elements and Planets,Mythical ,Questions to ask ,,
cards,Eight of Cups,8,Minor Arcana,Cups,c08.jpg,"Someone's ""stepping out"" on you, now or in the near future, Maybe it's time to quit talking about the problem and just move on","longing,dissatisfaction,quest,departure,withdrawal",,"Wanting something better,Blazing your own trail,Realizing there must be more to life,Leaving an unhealthy situation behind,Starting your own business,Going on a retreat,Seeking the ""still, small voice""","Being implacable, Finding fault, Nitpicking, Refusing to settle downRunning away from problems or confrontations, Saying, ""It's my way or the highway!"", Harping on past mistakes and disappointments, Threatening to quit as a strategy to get your way",,,"8 (The Action: movement, outer work, swiftness)","Cancer (June21-July22), Scorpio (October 23-November 21), Pisces (February 19-March20)",,"What do I need to leave behind once and for all?,If I left in search of ""more,"" what would I be looking for, exactly?,How might a retreat enhance my perspective?",,
cards,Nine of Cups,9,Minor Arcana,Cups,c09.jpg,"Whatever you want, you'll get it","satisfaction,sensuality,luxury,pleasure",,"Being delighted with your own achievements,Recognizing your own talents and abilities,Reveling in the good things life has to offer,Indulging yourself,Relaxing and unwinding,Having everything you need in order to feel complete","Being smug, Satisfying yourself at the expense of others, Being selfishOver-indulging, Avoiding work that needs to be done, Claiming achievements or skills you do not possess, Never being satisfied, no matter how much you have",,,"9 (The Completion: fullness, readiness, ripeness)","Cancer (June21-July22), Scorpio (October 23-November 21), Pisces (February 19-March20)",,"What is true happiness?,If I could have anything, what would I have?,What is my attitude toward luxury? Do I deserve it?",,
cards,Ten of Cups,10,Minor Arcana,Cups,c10.jpg,"Marriage and family are in the cards, Expect a friendship to blossom into a romance","joy,fulfillment,overwhelming emotion,giddiness",,"Having more than you ever dreamed,Being deeply thankful for all you've been given,Recognizing the Hand of God in the gifts the Universe brings your way,Experiencing transcendent joy,Achieving domestic bliss",Comparing your achievements or relationships to unrealistic fantasy standardsExperiencing emotions so intense they blunt your ability to cope with realityFeeling overwhelmedEnvying the achievements and happiness of others,,,"10 (The End: finality, completion, exhaustion)","Cancer (June21-July22), Scorpio (October 23-November 21), Pisces (February 19-March20)",,"Who gets to define what ""joy"" consists of?,What course of action is available when you feel overwhelmed?,How might vows or promises play a role in achieving a greater level of joy in your life?",,
cards,Page of Cups,11,Minor Arcana,Cups,c11.jpg,"This card represents a young man or woman with a watery, dreamy demeanor, likely born a Libra, Scorpio, or Sagittarius, who wants to start a new relationship with you","enthusiasm,first impressions,romanticism,superficiality",,"Showing your emotions freely,Throwing yourself into romance,Nursing a secret crush,Indulging in romantic fantasy,Starting a new relationship,Recalling your first love,Experiencing love for the first time,Converting to a new religion",Mistaking a crush for true loveReading romantic intention into innocent actionFrantically trying to impress othersIndulging in overly-sweet sentimentalityPretending to more romantic or spiritual experience than you possess,,,11,Earth of Water.,,"How worried are you that others will see you as foolish or inexperienced?,To what extent can you be honest about your lack of experience in love and faith?,How can you maintain enthusiasm over time?",,
cards,Knight of Cups,12,Minor Arcana,Cups,c12.jpg,"This card represents a man with an emotional, sensitive personality, likely born between October 13th and November 11th, who wants you to rally around his latest passionate cause","fervor,zeal,moodiness,illumination",,"Being deeply committed to a cause,Giving in to strong emotions, from excitement to depression,Acting on intuition alone,Solving problems intuitively,Believing in and basing decisions on ideals instead of realities,Bringing intuition or passion to the table","Becoming a fanaticRejecting information that suggests your intuitions are misguidedAllowing your emotions to control youGiving in to jealousy, confrontation, and peer pressureHiding or ignoring intuitive insights",,,12,Air of Water.,,"How prone to emotional extremes are you?,What's the difference in driving passion and blind zeal?,How can you inspire others without inciting a riot?",,
cards,Queen of Cups,13,Minor Arcana,Cups,c13.jpg,"This card represents a woman with an emotional, deeply spiritual nature, likely born between June 11th and July 11th, who uses emotional and spiritual appeals to sway others to her point of view","insightfulness,spirituality,compassion,empathy,instinct",,"Allowing yourself to be moved by the plight of others,Feeling strong emotions,Possessing unusual sympathy or empathy,Trusting your feelings to guide you,Calling on psychic abilities,Achieving unity with Spirit","Becoming so caught up in matters of Spirit, you become detached from the worldAllowing empathy to disable you (instead of inspire action)Using psychic abilities to wield covert influenceWallowing in emotionalism, sentiment, or self-pity",,,13,Water of Water.,,"How do I handle strong emotions?,To what extent am I a victim of my own feelings?,How can I move from reflection to action?",,
cards,King of Cups,14,Minor Arcana,Cups,c14.jpg,"This card represents an older man with a gentle, sensitive presence, likely born between February 9th and March 10th, who is known for his fairness and tolerance","wisdom,diplomacy,restraint,composure",,"Keeping a stiff upper lip,Being brave and clear in the face of adverse circumstances,Sharing experience as a way of comforting others,Making fair and empathetic decisions,Honoring the spirit, not just the letter, of the law",Allowing yourself to become rigid and unemotionalMaking unfair decisions based on a hidden agendaMaking decisions without regard for their emotional impact on othersAbusing spiritual authorityUsing emotional or spiritual leverage to exercise unhealthy control over others,,,14,Fire of Water.,,"What wise person could be consulted for good advice?,How can I make sure I'm being as objective and fair as possible?,To what extent am I capable of keeping a ""stiff upper lip?""",,
cards,Ace of Swords,1,Minor Arcana,Swords,s01.jpg,"The time to make a choice is now, Stop wavering and do what you know is best","logic,objectivity,intellect,choice",,"Making objective decisions,Applying logic,Reasoning your way out of a difficult situation,Solving puzzles,Thinking things through,Emphasizing the facts,Clearing your mind,Seeking clarity",Applying ruthless or twisted logicGloating over your own superior intellectUsing quick thinking to deceive or confuse othersConfusing snap judgments with quick thinkingMaking decisions without thinking through consequences,,,"1 (The Origin: the starting point, the seed, opportunity)","Gemini (May 21-June 20), Libra (Septmber 23-October 22), Aquarius(January 20-February 18)",,"If I made my decision purely based on reason and logic, what would my decision be?,What do I think about my own problem-solving ability?,Who can supply me with the pure and simple facts?",,
cards,Two of Swords,2,Minor Arcana,Swords,s02.jpg,"Sometimes, the only way to win is to refuse to fight, You're stuck for now; let time pass before taking action","denial,debate,impasse,truce",,"Refusing to make a decision without getting the facts,Exploring both sides of an argument,Arguing passionately for what you believe in,Weighing the issues,Encouraging the open exchange of ideas,Discussing political or religious issues without getting ""hot under the collar""",Rejecting evidence that conflicts with dearly-held beliefsArguing with others just for the sake of doing soNit-pickingPutting off a decision because you're afraid to face the consequencesPreventing others from getting the information they need to make good decisions,,,"2 (The Other: duality, division, debate)","Gemini (May 21-June 20), Libra (Septmber 23-October 22), Aquarius(January 20-February 18)",,"What information do I need to get past this impasse?,How can I get past being defensive and see the facts?,What viewpoints, other than my own, play a role in this situation?",,
cards,Three of Swords,3,Minor Arcana,Swords,s03.jpg,"Breakups and infidelity abound, What hurts now, though, will turn out to be good for you later on","variance,difference,dissatisfaction,heartache,rejection",,"Being brave enough to see things as they really are,Exercising your critical eye,Being your own best critic,Acknowledging that things don't always turn out as planned,Moving past heartbreak to embrace a painful truth","Wallowing in despairAllowing yourself to be completely crushed by the thoughts, words, or deeds of anotherJudging yourself too harshlyHolding yourself to an unrealistic standard of excellenceWearing your heart on your sleeve while carrying a chip on your shoulder",,,"3 (The Result: expression, productivity, output)","Gemini (May 21-June 20), Libra (Septmber 23-October 22), Aquarius(January 20-February 18)",,"How can I get past my depression?,To what extent are my emotions a matter of choice?,How can I learn from the mistakes of the past?",,
cards,Four of Swords,4,Minor Arcana,Swords,s04.jpg,"Don't make any decision now, Wait, and you'll be glad you did","meditation,contemplation,perspective,mindset",,"Thinking over your plans before putting them into action,Pausing to meditate or clear your mind,Taking time to understand someone or something before criticizing it,Resting,Occupying your thoughts with a healthy distraction","Failing to think things throughMistaking procrastination for thoughtfulnessAdopting a point of view and refusing to reconsider your conclusions, even when presented with refuting evidenceAllowing chaos and whimsy to dominate your thoughts",,,"4 (The Status Quo: stability, equality, persistence)","Gemini (May 21-June 20), Libra (Septmber 23-October 22), Aquarius(January 20-February 18)",,"How long has it been since you deliberately took a ""time out?"",How difficult is it for you to meditate?,What would happen if you simply refused to make a decision today?",,
cards,Five of Swords,5,Minor Arcana,Swords,s05.jpg,"Someone is stealing from you, financially or romantically, Be wary of friends who talk behind your back","selfishness,hostility,irrationality,self-preservation",,"Acting in your own best interest,Choosing to stand up for yourself,Not backing down from disagreement and discord,Taking a stand,Refusing to go along with an unethical plan,Knowing when to bend the rules",Taking advantage of othersIntimidating othersActing in an unethical mannerPicking fightsUsing words to goad others into violence and irrationalityIgnoring rules you've agreed to abide byLooking out for yourself while allowing harm to come to othersGloating over victory,,,"5 (The Catalyst: instability, resistance, confrontation)","Gemini (May 21-June 20), Libra (Septmber 23-October 22), Aquarius(January 20-February 18)",,"How do I behave when I win? What does that say about me?,How can I do what's necessary without making others feel defeated?,What's the difference between selfish action and acting in my own best interest?",,
cards,Six of Swords,6,Minor Arcana,Swords,s06.jpg,"You'll soon go on a long journey over water, Actions have unexpected consequences, so be prepared","adaptation,adjustments,science,travel",,"Making the best of a bad situation,Recovering from defeat,Resetting expectations,Making allowances for unexpected circumstances,Helping others who find themselves in dire circumstances,Changing the way you see the world,Broadening your perspective through study or travel","Refusing to accept that things have changedPlaying the victimRejecting the idea that your actions have consequencesApplying scientific criteria to matters of faith, or confusing faith with scienceBelieving the whole world should be like your small corner of it",,,"6 (The Adjustment: cooperation, collaboration, interaction)","Gemini (May 21-June 20), Libra (Septmber 23-October 22), Aquarius(January 20-February 18)",,"What assumptions govern my thinking?,How willing am I to lend aid to others? To request it when I need it?,How prepared am I to deal with change? With unexpected outcomes?",,
cards,Seven of Swords,7,Minor Arcana,Swords,s07.jpg,"Don't assume people around you are worthy of your trust,Ask for an accounting of where people have been, and what they've been doing","dishonesty,presumption,sneakiness,assumptions",,"Refusing to do something dishonest, even when there's no chance of ever being caught,Handling a difficult situation with finesse,Pointing out assumptions,Acting ethically in public and in private,Living a life that is beyond reproach","Stealing or lyingDoing whatever you can get away with, simply because you canLooking for a way around consequencesJustifying wicked behavior by focusing on the wickedness of othersFailing to examine your own motives and prejudices",,,"7 (The Motive: imagination, inner work, psychology)","Gemini (May 21-June 20), Libra (Septmber 23-October 22), Aquarius(January 20-February 18)",,"What assumptions am I making?,How well-defined is my sense of ethics?,How should I respond when I know others are breaking the rules?",,
cards,Eight of Swords,8,Minor Arcana,Swords,s08.jpg,"Get over playing the victim, Once you realize you are your own biggest obstacle, nothing can hold you back","restriction,limitation,confinement,helplessness",,"Honoring limits,Respecting the rules,Deciding to go on a diet for your health's sake,Recognizing you cannot always be in control,Identifying obstacles to further progress,Refusing to think about unhealthy or unethical options,Asking for assistance",Feeling trappedBeing lost in a maze of rules and regulationsGiving in to despairPlaying the victimAllowing others to dictate what you can and cannot doBeing rendered helplessHaving very few optionsFailing to look for a way out,,,"8 (The Action: movement, outer work, swiftness)","Gemini (May 21-June 20), Libra (Septmber 23-October 22), Aquarius(January 20-February 18)",,"Who's empowered to cut through the red tape?,What, exactly, are the obstacles? What resources, exactly, are needed to move them?,To what extent is your powerlessness a matter of attitude?",,
cards,Nine of Swords,9,Minor Arcana,Swords,s09.jpg,"If you take the action you're considering now, you'll be sorry in the future","remorse,worry,distraught,conclusion",,"Refusing to worry about what you cannot control,Rejecting anxiety,Judging your own performance with kindness and gentleness,Using meditation to quiet a troubled mind,Confronting nightmares and fears,Drawing a conclusion and putting an issue out of your mind",Torturing yourself with regretsSecond-guessing your every moveBeating yourself up for your mistakesDepressionObsessing on errors and overlooked detailsRefusing to handle stress in healthy waysRuining your ability to appreciate the present by dwelling on the pastDebating irreversible decisions,,,"9 (The Completion: fullness, readiness, ripeness)","Gemini (May 21-June 20), Libra (Septmber 23-October 22), Aquarius(January 20-February 18)",,"What role does worry play in your current situation?,To what other ends might you devote the energy you're giving to anxiety?,How can you know when it's time to stop thinking and start acting?",,
cards,Ten of Swords,10,Minor Arcana,Swords,s10.jpg,"Disaster, Put off plans and do not take action until omens are better","exhaustion,ruin,disaster,stamina,obsession",,"Seeing the signs that you've reached your limits,Paying attention to what your body is trying to tell you,Giving in to the need for rest and renewal,Acknowledging that you've hit bottom,Committing to a turnaround,Knowing the worst is over","Accepting defeat prematurelyDriving yourself to total exhaustion, especially mentallyExperiencing a mental breakdownObsessing on a problem to the breaking pointGiving upRefusing to move from thought to actionDeeply unhealthy thoughts",,,"10 (The End: finality, completion, exhaustion)","Gemini (May 21-June 20), Libra (Septmber 23-October 22), Aquarius(January 20-February 18)",,"What are the signs that the time for debate is over?,How can you tell when interest has given way to obsession?,When your own limits are reached, where can you turn for aid?",,
cards,Page of Swords,11,Minor Arcana,Swords,s11.jpg,"This card represents a young man or woman with an airy, intellectual demeanor, likely born a Capricorn, Aquarius, or Pisces, who wants to learn something new from you or have a discussion with you","student,apprentice,scholarship,information",,"Pursuing a course of study,Asking good questions,Investing time in study and practice,Doing research,Making a habit of learning new things,Starting an investigation,Outlining what you need to know,Finding a mentor or teacher",Pretending to knowledge or sophistication you do not possessCheating on an examFeigning interest as a way of gaining favorConsidering only the evidence that supports conclusions you've already drawnRejecting the wise counsel of experienced teachers,,,11,Earth of Air.,,"How comfortable are you with revealing your own ignorance?,What are the marks of a good student?,To what extent are you open to new information?",,
cards,Knight of Swords,12,Minor Arcana,Swords,s12.jpg,"A blunder leads someone to say something he or she regrets, If this was you, be prepared to apologize and move on","bluntness,intelligence,incisiveness,investigation",,"Speaking your mind,Making your opinions known,Offering constructive criticism,Sharing your knowledge,Making insightful observations,Pinpointing the problem,Clarifying what others have said,Giving clear direction to others,Uncovering the truth",Stating your opinions as factPicking fightsStarting argumentsUsing clever insults to undermine the confidence of othersTossing reason out the windowSpeaking without taking the feelings of others into accountGoing on a witch huntDistorting evidence,,,12,Air of Air.,,"What do I really need to know?,To what extent have I investigated the facts behind my situation?,How can I share what I know without alienating others?",,
cards,Queen of Swords,13,Minor Arcana,Swords,s13.jpg,"This card represents a woman with an artistic, intellectual nature, likely born between September 12th and October 12th, who uses clever, positive communication to sway others to her point of view","grace,skill,wit,charm,aptitude",,"Exercising tact or using diplomacy,Defusing a tense situation,Knowing what to say and how to say it,Making others feel comfortable and confident,Bringing out the best in everyone,Having a way with words,Telling jokes,Possessing a knack for music, math, art, or science",Knowing exactly what to say to destroy another personWithholding critical informationUsing a barbed tongue to upset othersEmploying sarcasmMimicking others unkindlyMaking light of the less fortunateBeing disrespectfulFailing to use the talent you've been given,,,13,Water of Air.,,"What do I have a knack for? How might my special gift prove useful now?,To what extent am I capable of saying what needs to be said?,What is the best possible way to say what I want to say?",,
cards,King of Swords,14,Minor Arcana,Swords,s14.jpg,"This card represents an older man with an insightful, deliberate spirit, likely born between May 11th and June 10th, who is known for his integrity and sharp decision-making ability","genius,expertise,decision,verdict",,"Expressing yourself with firmness and authority,Rendering a final decision,Consulting an expert,Calling in advisors and consultants,Coming to a final conclusion,Reaching a beneficial agreement based on sound information","Insisting on having the last wordFlaunting your intellectual capabilityTalking ""over the heads"" of othersWaffling on an important decisionConstantly changing your mindRefusing to make choices that are in your own best interestWishing in vain you could take back what's been said",,,14,Fire of Air.,,"What would your decision be if you had to render a binding verdict right now?,How comfortable are you saying exactly what you mean? How often do you temper what you have to say for fear of offending others?,If you were to ask others, ""What's my area of expertise?"" what would they say?",,
cards,Ace of Wands,1,Minor Arcana,Wands,w01.jpg,"Someone has the ""hots"" for you, A new job offer is coming your way, Walk softly, and carry a big stick","desire,inspiration,vision,creation,invention",,"Being inspired,Identifying an important goal,Being given the opportunity to do whatever you want to do,Giving or receiving direction,Seeing a solution,Creating something new,Being aroused, sexually or creatively","Failing to take advantage of a great opportunityBeing ineffectual or lazyMaking an inadequate effortWorking toward a goal, but lacking the resources or initiative to achieve successSetting inappropriate goalsFailing to take a stand",,,"1 (The Origin: the starting point, the seed, opportunity)","Aries (March 21-April 19), Leo (July 23-August 22), Sagittarius (November 22-December 21)",,"What do I really want, more than anything else?,What happens if I let this opportunity pass me by?,How clearly have I defined my directions, values, and goals?",,
cards,Two of Wands,2,Minor Arcana,Wands,w02.jpg,"Beware false friends, Don't be mealy-mouthed; say what you think and do what you want to do","conflict,decision,option,individuality",,"Having a choice,Offering or being offered an option,Seeing the value of another person's approach,Understanding there's more than one way to ""skin a cat"",Successfully doing more than one thing at a time,Being empowered to make a choice",Misrepresenting your intentionsDoing one thing while desiring anotherChanging course mid-stream for no good reasonRefusing to change your goal even when pursuing it no longer makes senseDisregarding the input of others,,,"2 (The Other: division, debate, duality)","Aries (March 21-April 19), Leo (July 23-August 22), Sagittarius (November 22-December 21)",,"In a conflict, how do you decide who wins?,What values govern your decision-making process?,What choice will you make if you make no choice at all?",,
cards,Three of Wands,3,Minor Arcana,Wands,w03.jpg,"You'll be planning a trip soon, Be on the lookout: your ship is coming in","implementation,action,exploration",,"Putting a plan into motion,Taking that critical first step,Making good things happen,Going beyond your limits,Blazing new trails,Hitting the ground running,Seeing your plans come to fruition","ProcrastinatingKnowing what to do, but refusing to do itLaunching a project without a clear definition of who should do whatRejecting an opportunity to try something newFailing to finish what you start",,,"3 (The Result: expression, productivity, output)","Aries (March 21-April 19), Leo (July 23-August 22), Sagittarius (November 22-December 21)",,"How can you make a habit of breaking your habits?,How can you be a decisive leader in this circumstance?,What's your action plan for the next week, month, year, or decade?",,
cards,Four of Wands,4,Minor Arcana,Wands,w04.jpg,"Someone is watching and evaluating your work, You may get a wedding invitation soon","celebration,jubilation,community,teamwork,completion",,"Sharing in a great celebration,Sharing in a communal sense of achievement and success,Preparing for a party,Working together toward a common goal,Giving or winning awards",Keeping your nose to the grindstoneRecognizing good work by demanding more workFailing to share in a group celebrationAllowing sour grapes to poison your moment in the sunRefusing to do your part,,,"4 (The Status Quo: stability, equality, persistence)","Aries (March 21-April 19), Leo (July 23-August 22), Sagittarius (November 22-December 21)",,"To what extent am I doing my part?,What kind of recognition would be most meaningful?,How might a celebration now impact community morale?",,
cards,Five of Wands,5,Minor Arcana,Wands,w05.jpg,"Prepare for a fight with your best friend, Remember: once you let words loose, you can't take them back","confrontation,disruption,distinction,objection,strife",,"Calmly expressing a dissenting opinion,Allowing someone to use his or her own methods to get a job done,Opening the floor for discussion or debate,Comparing progress made so far to standards set earlier",Berating others for their ridiculous opinionsPicking fightsOffering destructive criticismBaiting people with barbed remarksDisrupting progress with an endless stream of pointless objections,,,"5 (The Catalyst: instability, resistance, confrontation)","Aries (March 21-April 19), Leo (July 23-August 22), Sagittarius (November 22-December 21)",,"To what extent is your current issue worth fighting for?,What alternatives are there to outright conflict?,What happens in a ""fair fight?"" How can you keep this fight fair?",,
cards,Six of Wands,6,Minor Arcana,Wands,w06.jpg,"Someone is planning a party for you, but not everyone feels so good about your recent success, Watch out for envious friends","Victory, Achievement, Success, Triumph",,"Outperforming your peers, Winning a competition, Being recognized as a capable person, Having your ""moment in the spotlight"", Being cheered on by the crowd, Getting an award, Earning the admiration of others, Telling someone, ""Good job!""","Being a bad winner, Allowing your achievements to inflate your ego, Looking down on people who seem less capable, Craving to be the center of attention, Giving or receiving insincere praise, Envying the achievements of others",,,"6 (The Adjustment: cooperation, collaboration, interaction)","Aries (March 21-April 19), Leo (July 23-August 22), Sagittarius (November 22-December 21)",,"What kind of recognition do I crave? Why?,How freely do I praise the achievements of others?,What happens when the parade is over?",,
cards,Seven of Wands,7,Minor Arcana,Wands,w07.jpg,"Don't be surprised by a personal attack, Prepare to defend yourself or someone you love","bravery,resolve,determination",,"Refusing to be silenced through fear or intimidation,Continuing a fight against all odds,Being fierce,Defending yourself against physical and emotional attacks,Refusing to put up with abuse,Clinging to your values despite all pressure to abandon them","Having a chip on your shoulder, Taking unnecessary risks as a means of proving your fearlessness, Looking for an opportunity to take offense, Responding to constructive criticism with defensiveness, Refusing to stand up for yourself and your beliefs",,,"7 (The Motive: imagination, inner work, psychology)","Aries (March 21-April 19), Leo (July 23-August 22), Sagittarius (November 22-December 21)",,"When do you feel most threatened? When do you get defensive?,How capable are you of defending yourself?,What kinds of beliefs are worth defending?",,
cards,Eight of Wands,8,Minor Arcana,Wands,w08.jpg,"Watch for a surprising letter in the mail, Your whole world is about to be turned on its ear","speed,swiftness,responsiveness,change",,"Taking swift action,Moving forward with a plan as quickly as possible,Energizing yourself,Adapting to sudden changes,Taking setbacks in stride,Embracing the idea that nothing stays the same forever,Reacting quickly and appropriately to unforeseen problems","Giving in to panicRunning in circles and screamingInsisting things must always stay the sameStirring the pot just to see what will happenRushing othersRefusing to re-evaluate a schedule or program, even when it's clearly no longer appropriate",,,"8 (The Action: movement, outer work, swiftness)","Aries (March 21-April 19), Leo (July 23-August 22), Sagittarius (November 22-December 21)",,"How quickly to you adapt to change?,What would your response be to overwhelming, sudden change?,What changes are on your horizon? How well have you prepared for them?",,
cards,Nine of Wands,9,Minor Arcana,Wands,w09.jpg,"Don't relax yet; there's more to come, The test you're facing now is happening for one reason: to show you who your real friends are","toughness,persistence,stamina,loyalty,release",,"Sticking with it for the duration,Fulfilling your promises and obligations,Bearing up under incredible duress,Dragging yourself across the finish line,Picking yourself up by your own bootstraps,Refusing to quit,Going as far as you can go and being satisfied with your performance",Making yourself a martyrAbandoning your postGiving up at the first sign of oppositionBeing prevented from fulfilling an obligationFailing to be dependableRefusing to let something go that needs to be releasedBeating a dead horse,,,"9 (The Completion: fullness, readiness, ripeness)","Aries (March 21-April 19), Leo (July 23-August 22), Sagittarius (November 22-December 21)",,"How do you cope when things get really tough?,When you get low, what encourages you to go on?,At what point should you be able to let this situation go?",,
cards,Ten of Wands,10,Minor Arcana,Wands,w10.jpg,"You're worn out, Back off, take a time out, and let someone else handle things for a while","exhaustion,resistance,burden,oppression",,"Holding your own in extreme circumstances,Helping others carry their burdens,Coming to the aid of the oppressed,Knowing and being honest about your own limits,Recognizing when you are not well-suited for a particular task","Taking on more work than you know you can handleRefusing to say ""No"" when you're already overloadedMaking a habit of working overtimeShielding others from facing the consequences of their own poor judgmentOver-extending yourself on a regular basis",,,"10 (The End: finality, completion, exhaustion)","Aries (March 21-April 19), Leo (July 23-August 22), Sagittarius (November 22-December 21)",,"How will you know when you reach the end of your rope?,How easily do you say no to new projects and requests?,What projects could you delegate...or eliminate?",,
cards,Page of Wands,11,Minor Arcana,Wands,w11.jpg,"This card represents a young man or woman with a fiery, enthusiastic demeanor, likely born a Cancer, Leo, or Virgo, who wants to start a new relationship with you","enthusiasm,eagerness,confidence,validation,affirmation",,"Leaping at a new opportunity,Being a cheerleader or ardent advocate for your cause,Being a True Believer,Taking first steps toward independence,Trusting in your own abilities,Asking for feedback","Basing your entire self-image on what others thinkSeizing every new idea that comes your way without questionHabitually discounting input or feedback from othersBeing so eager to ""do it yourself"" that you hinder your own progress",,,11,Earth of Fire.,,"How easily do you admit your own inexperience?,How can you be a better student or employee?,What qualities would make a total beginner's voyage of discovery easier?",,
cards,Knight of Wands,12,Minor Arcana,Wands,w12.jpg,"This card represents a man with a bold, passionate personality, likely born between July 12th and August 11th, who wants to sweep you off your feet","boldness,bravado,passion,persuasion,advocacy",,"Charging ahead,Making rapid progress,Refusing limits,Dazzling those around you with your wit and charm,Convincing others of your right to leadership,Convincing others to follow you,Being a catalyst for change",Blundering forward with inadequate skill or informationRunning roughshod over the feelings of othersUsing sex appeal to manipulate othersForcing your leadership or ideology on othersBeginning many projects without finishing any,,,12,Air of Fire.,,"To what extent have you defined your ultimate goal?,What's the fastest way to get the job done? Is this necessarily the best way?,How long has it been since you looked back to see if others really are following your lead?",,
cards,Queen of Wands,13,Minor Arcana,Wands,w13.jpg,"This card represents a woman with an attractive, appealing personality, likely born between March 11th and April 20th, who wants to charm you into doing things her way","attention,attraction,unification,collaboration",,"Paying close attention,Helping others focus on the issue at hand,Getting everyone to work together,Identifying common ground,Bringing people together, despite their differences,Using reverse psychology","Being distracted, or using your charms or skills to distract others from the goalCalling attention to yourself with negative or unhealthy behaviorsDisrupting group activities as a means of feeding your own ego",,,13,Water of Fire.,,"How attentive am I?,How can I draw people's attention to what we have in common?,To what extent am I able to convince people to do what I want them to do?",,
cards,King of Wands,14,Minor Arcana,Wands,w14.jpg,"This card represents an older man with a commanding, charismatic personality, likely born between November 13th and December 12th, who prefers to give directions and have them followed","creativity,ingenuity,achievement,direction",,"Putting old things together in new and exciting ways,Coming up with unexpected solutions,Using your experience to solve puzzles and problems,Doing what you set out to do,Directing the efforts of others",Using your creativity to get out of honest workInvesting great energy in avoiding responsibilityBoasting about achievements without putting your expertise to practical useLording it over others,,,14,Fire of Fire,,"How confident a leader am I?,How can I project more confidence?,How can I offer my expertise in ways that inspire others to follow me?",,
cards,Ace of Pentacles,1,Minor Arcana,Pentacles,p01.jpg,"Your health will improve, The check you're looking for really is in the mail","health,wealth,practicality,receiving",,"Outlining a plan for achieving prosperity,Becoming aware of opportunities to improve income or health,Realizing you have everything you need,Appreciating everything the Universe has given you,Receiving the perfect gift at the perfect time","Indulging in relentless consumerismWanting more, no matter how much you haveObsessing on your account balanceSuffering from hypochondriaConsuming blessings without expressing gratitudeTaking what you want without concern for the needs of others",,,"1 (The Origin: the starting point, the seed, opportunity)","Taurus (April 20-May 20), Virgo (August 23-September22), Capricorn (December 22-January 19)",,"If I made my decision based solely on practical concerns, what would my decision be?,What resources are available to me?,What will be the physical and financial impact of my decisions?",,
cards,Two of Pentacles,2,Minor Arcana,Pentacles,p02.jpg,"It's time to balance the budget, Avoid the temptation to spend critical funds on frivolous goods","evaluation,decision,budgeting,diagnosis",,"Weighing options,Comparing prices,Determining the value of one option over another,Juggling resources to make ends meet,Making difficult choices based on what's best for your body or your bankbook,Looking at the bottom line,Asking for a second opinion on health issues",Engaging in endless price comparisonPutting off a buying decision for fear of finding a slightly better value later onBuying something without regard for valueBreaking your budget with unnecessary expensesEngaging in behavior with no regard for how your body or bankbook will be impacted,,,"2 (The Other: duality, division, debate)","Taurus (April 20-May 20), Virgo (August 23-September22), Capricorn (December 22-January 19)",,"What values govern my decisions?,How willing am I to sacrifice a little pleasure now in order to have more pleasure later on?,Given my current situation, which course of action will give me more of what I really need?",,
cards,Three of Pentacles,3,Minor Arcana,Pentacles,p03.jpg,"A high-dollar contract is in your future, If you work hard, you'll succeed","expression,production,work,contribution",,"Finishing a project,Setting and meeting standards,Performing according to specifications,Making something others value,Creating something new,Doing your part in a group project,Delivering exactly what others have asked for",Pandering to the tastes of othersFailing to deliver what you've promisedNot delivering your best work unless closely supervisedIgnoring or breaking agreements with those who have invested in youRefusing to do your partFailing to abide by a clearly-outlined agreement with yourself or others,,,"3 (The Result: expression, productivity, output)","Taurus (April 20-May 20), Virgo (August 23-September22), Capricorn (December 22-January 19)",,"How can I get more done?,What's expected of me? How large a role do I play in controlling those expectations?,What's been agreed to? How well has that agreement been followed?",,
cards,Four of Pentacles,4,Minor Arcana,Pentacles,p04.jpg,A rainy day is coming—it's time to save,"protection,conservation,preservation,safety",,"Saving for a rainy day,Fasting as part of a spiritual practice,Dieting in an effort to improve your body,Abstaining from sex as a way of honoring a spiritual tradition or personal promise,Being financially conservative,Establishing a trust fund,Opening a savings account","Being stingyRefusing to spend money that needs to be spentWithholding sex from your partnerTaking care of your own needs exclusively, without regard for the needs of othersSpending a dollar to save a pennyFailing to be a good manager of the blessings you've been given",,,"4 (The Status Quo: stability, equality, persistence)","Taurus (April 20-May 20), Virgo (August 23-September22), Capricorn (December 22-January 19)",,"What factors determine how conservative or generous you are?,What kinds of things must be preserved at all costs?,When is greediness or stinginess a good trait to have? When might generosity work against you?",,
